2 Requirement Analysis|requirement|r-general|r-general|r-general||
In order to start gathering requirements, first it is necessary to identify each group affected by this project and understand everyone’s needs (section Stakeholders Analysis 2.1).|requirement|r-general|r-general|r-general||
With that information in hand, an initial list of the desired functional and non-functional requirements (see sections Functional Requirements 2.2 and Non-Functional Requirements 2.3) can be put into the Product Backlog in the form of user stories|requirement|r-general|r-general|r-general||
Every sprint these requirements may change, reason why in this section are described only the final requirements that are part of the current Product Backlog of the project (see Appendix B Product Backlog).|document organisation|document organisation|document organisation|document organisation||
2.1 Stakeholder Analysis|domain|stakeholder|stakeholder|stakeholder||
Potential clients of the project, simplified as “clients” from now on, are companies in need of an e-commerce solution, especially those looking for an interface from where to sell goods or services to individuals or other companies.|domain|stakeholder|stakeholder|stakeholder||
They need a system that satisfies their current requirements and allows them to easily implement future required functionalities.|requirement|r-general|r-general|r-general||
They hire developers, usually working in agencies, to build these tailored applications.|uncertain|uncertain|uncertain|uncertain||
Potential users of the template are precisely developers, who need to implement a web-shop or a similar application.|domain|stakeholder|stakeholder|stakeholder||
They might have to decide whether to develop a web-shop based on SPHERE.IO Play SDK.|uncertain|uncertain|uncertain|uncertain||
They may want to use the template as a live documentation of how to use the system or directly use it as a bootstrap project on which to build their own web-shop.|uncertain|uncertain|uncertain|uncertain||
They need to easily understand the sample code and quickly identify those lines of code with shop logic coming from SPHERE.IO.|requirement|non-functional|non-functional|non-functional||
Code quality and correct use of technologies may be important for them.|requirement|non-functional|non-functional|non-functional||
End users or customers, equally mentioned as “users” and “customers” in this document, are those actors of the system who would buy in the web-shop in case it went live.|domain|stakeholder|stakeholder|stakeholder||
Even being an hypothetical situation, this template will be used as a bootstrap project so eventually it will become a real web-shop with end users.|uncertain|uncertain|uncertain|uncertain||
With no other specific information about these users, it can only be assumed that they need an intuitive layout that allows them to shop with ease in a few clicks.|system|ui design|u-architecture|u-architecture||directive
Inside the company there are two major stakeholders: the SPHERE.IO product owners and the developer team.|domain|stakeholder|stakeholder|stakeholder||
The product owners need a final product where all the platform features are implemented in order to measure the actual progress of the project.|domain|stakeholder|stakeholder|stakeholder||directive
This product also allows them to have a sample web-shop to show to potential clients in meetings and conferences even before the platform is released.|domain|stakeholder|stakeholder|stakeholder||
Their primary need towards the template is to verify that their implementation is adjusting to both developers and clients needs.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
They might create temporal limitations on the template design, but at the same time any suggestion may be quickly adopted with no need to change the web-shop requirements.|uncertain|uncertain|uncertain|uncertain||
2.2 FUNCTIONAL REQUIREMENTS|requirement|r-general|r-general|r-general||
In order to prove the value of the platform and identify any possible lack of functionality, the application should have all the common features of a regular web-shop.|requirement|r-general|r-general|r-general|rationale|directive
Accordingly, it has been considered that the initial appropriate set of functionalities for this project include those related to browsing and purchasing products, as well as management of a customer account.|requirement|feature|feature|feature||
The detailed behavior expected for the web-shop is described below.|document organisation|document organisation|document organisation|document organisation||
In the home page all products are displayed sorted by popularity.|system|ui design|u-architecture|u-architecture||
From here the user can select a category; then all products belonging to that category or any descendent will be displayed.|requirement|use case|use case|use case||
Whenever a set of products is listed, those products on sale will be highlighted and the user will be given the option to sort and filter amongst all products.|requirement|use case|use case|use case||
The sorting can be performed by name or price, and the filtering by price and color.|requirement|functionality & behaviour|functionality & behaviour|functionality & behaviour||
Each product thumbnail consists of a picture of the product, its name and price, as well as a list of all color variants available.|system|ui design|u-architecture|u-architecture||
Clicking on a product thumbnail redirects the user to the product detail page, where besides name and price also a description is shown.|requirement|use case|use case|use case||
Here the user is able to select any color and size to visualize the corresponding picture.|requirement|use case|use case|use case||
In any moment the user can add the selected product to the shopping cart, afterwards the updated cart contents and total price will be displayed.|requirement|use case|use case|use case||
Accessing the cart details also grants the user the possibility to change the number of units of an item or remove any particular item from the shopping cart.|requirement|use case|use case|use case||
From here the user can choose to start the checkout process, where he is asked to fill a form with shipping information (i.e. shipping address and method) and billing information (i.e. billing address and payment data).|requirement|use case|use case|use case||
During the checkout process the order summary (i.e. the list of purchased items and pricing details) is displayed all along and kept up to date.|system|ui design|u-architecture|u-architecture||
Right before finishing the checkout process, the user is informed of all introduced shipping and billing information as well as the order summary.|requirement|use case|use case|use case||
Once the checkout process is finished, another summary is shown along with a successful purchase message.|requirement|use case|use case|use case||
The user can decide to sign up in our systems, in which case he must provide his full name, email address and a password.|requirement|use case|use case|use case||
After signing up he is redirected to his user profile, where he can update his personal data, change his password, manage his address book or review his previous orders in detail.|requirement|use case|use case|use case||
The address book allows the user to store a set of postal addresses that can later be selected as shipping or billing address in the checkout process.|requirement|use case|use case|use case||
The user is allowed to add new addresses to the address book, as well as update or remove any stored address.|requirement|use case|use case|use case||
While logged in, the user can choose to log out in order to become an anonymous customer.|requirement|use case|use case|use case||
In any moment, he can log in again providing his email address and password.|requirement|use case|use case|use case||
In case the user forgot his password, he can request to recover it by entering his email address, in which case an email is then sent to the address provided containing a web link can then be accessed within the next hour, where the user can provide a new password.|requirement|use case|use case|use case||
2.3 Non-functional requirements|requirement|r-general|r-general|r-general||
In its first stage, the web-shop template is required mainly to analyze the platform capabilities, show code examples to developers and attract potential customers.|requirement|r-general|r-general|r-general||
For this reason all nonfunctional requirements are highly focused on those areas.|requirement|r-general|r-general|r-general|rationale|
Other areas of great importance as well, such as compatibility and performance, are left aside from the current project because of the excessive workload that it means.|requirement|non-functional|non-functional|non-functional||
From a developer point of view the quality of the code takes a very important role, so it should be well organized, easy to understand and reusable.|development process|development practice|development practice|development practice|rationale|directive
Therefore it would be considered a good practice to use variables and functions with self-explanatory names and keep a well commented code.|development process|development practice|development practice|development practice|rationale|
To the extent possible, the generic shop logic should be separated from the most specific code in order to facilitate the use of it as a live documentation of the platform.|system|structure|s-architecture|s-architecture|rationale|directive
The platform should allow to test any web application built on top of it.|development process|QA|testing|testing||directive
In order to prove it is allowed, the template should be completed with automated functional tests, being careful of keeping these tests independent from the backend data in use.|development process|QA|testing|testing|rationale|
That way a change in the data, very likely to happen in a template web-shop, will not affect the results.|uncertain|uncertain|uncertain|uncertain|rationale|
The same principle should be applied to the code in general, to keep the template from being non-functional when the data used is different.|uncertain|uncertain|uncertain|uncertain||directive
Although major part of the required security is located on the e-commerce and payment platforms, there are some risks server side that must be top priority when it comes to online shopping.|development process|QA|risk|risk||
For example some data needs a careful treatment, like user related data such as addresses, passwords and payment information.|development process|QA|risk|risk||
Particular attention must be paid with the checkout process in order to avoid fraud.|development process|QA|risk|risk||directive
When online payment is involved in an application, payment data needs to be processed and stored somewhere.|system|data|d-architecture|d-architecture||
The system to process and store this data needs to be PCI DSS8 compliant.|requirement|non-functional|non-functional|non-functional||directive
Being a sample web-shop it is most appropriate in this case to leave this role to the payment platform, thus sending any payment data to the template’s web server must be strictly avoided.|system|behaviour|b-implementation|b-general|rationale|directive
The template should be intuitive and use latest design tendencies, especially those allowing a faster navigation experience.|requirement|non-functional|non-functional|non-functional||
The user should be able to use all functionalities of the web-shop in a smooth way, trying to minimize the number of times the page is fully reloaded.|requirement|non-functional|non-functional|non-functional||
This will also speed up the communication with the web server, thereby favoring a more efficient interaction with the web-shop.|requirement|non-functional|non-functional|non-functional|rationale|
The colour scheme should be neutral but pleasant in order to match any web-shop topic, with a winter sports related theme.|requirement|non-functional|non-functional|non-functional|rationale|
The URL structure of each page needs to be user-friendly, meaning it has to be easily identifiable with the product or category linked when reading it.|requirement|non-functional|non-functional|non-functional||
At the same time it has to follow some basic SEO rules in order to promote any website based on this template.|uncertain|uncertain|uncertain|uncertain|rationale|directive
3 Specification|uncertain|uncertain|uncertain|uncertain||
