2 Requirement Analysis|r-general
|
2.2 FUNCTIONAL REQUIREMENTS|r-general
|
2.3 Non-functional requirements|r-general
|
4.2.2.1 Display products|feature
|
4.2.2.2 Purchase Products|feature
|
4.2.2.3 User  management|feature
|
5.2.2 List Products|feature
|
A cart can belong to a registered customer, otherwise it is considered to have an anonymous customer.|functionality & behaviour
|
Accessing the cart details also grants the user the possibility to change the number of units of an item or remove any particular item from the shopping cart.|use case
|
Accordingly, it has been considered that the initial appropriate set of functionalities for this project include those related to browsing and purchasing products, as well as management of a customer account.|feature
|
Add address|functionality & behaviour
|
Add item to cart:|functionality & behaviour
|
After signing up he is redirected to his user profile, where he can update his personal data, change his password, manage his address book or review his previous orders in detail.|use case
|
Anonymous as much as registered customers can place orders, but only customers that have been identified are able to list their own orders, otherwise they are requested to identify themselves.|functionality & behaviour
|
As a customer, I want the web-shop with a human-readable URL structure, so that I can identify the type of content before visiting the web page|functionality & behaviour
|
As a customer, I want to add a particular product to the shopping cart, so that I can buy it with the next order (1).|functionality & behaviour
|
As a customer, I want to be able to pay online my orders, so that I can pay immediately the moment I buy them instead of using other possibly unpleasant billing options (4)|functionality & behaviour
|
As a customer, I want to be able to see my current shopping cart from any page via a so-called mini-cart, so that I can always be aware of its contents and pricing details (5).|functionality & behaviour
|
As a customer, I want to be informed of my location inside the category tree via a breadcrumb, so that it can help me to navigate and have a better understanding of the web-shop structure (6).|functionality & behaviour
|
As a customer, I want to be informed with an informative message when a category or product I requested cannot be found (10).|functionality & behaviour
|
As a customer, I want to be informed with an informative message when a product list request has no results (5).|functionality & behaviour
|
As a customer, I want to change the number of units of a particular item in the shopping cart, so that I can buy a different quantity of the product with the next order (6).|functionality & behaviour
|
As a customer, I want to learn how to purchase an item for the first time in less than 5 minutes (7).|non-functional
|
As a customer, I want to list all products of the shop (1).|functionality & behaviour
|
As a customer, I want to place an order, so that I can actually buy the items in my shopping cart (2).|functionality & behaviour
|
As a customer, I want to remove a particular item from the shopping cart, so that I do not buy it with the next order (3).|functionality & behaviour
|
