A series of methods can be chained to the jqXHR object, and executed once the server response has been received under certain circumstances.|s-sourcecode
|
Unlike SPHERE.IO, Heroku is scalable only under demand.|s-techsolution
|
Below is displayed the specific Coffeescript code that implements the handler for the update item in cart use case (see Figure 5.3).|s-sourcecode
|
The method returns jqXHR, a XMLHttpRequest object with jQuery added information.|s-sourcecode
|
In 2012 a second release was announced, with a core completely rewritten in Scala.|s-techsolution
|
Optile is a payment platform that allows to access a set of heterogeneous payment methods and providers (e.g. credit cards, direct debit, PayPal) under a common interface.|s-techsolution
|
Similarly to CoffeeScript, LESS is a language that compiles into CSS.|s-techsolution
|
The application tier needs an enterprise hosting solution, suitable for a company web-shop.|s-techsolution
|
In the second level that form is hosted in the system via a HTML frame or JavaScript.|s-techsolution
|
At the time the system was designed there were only two cloud platforms with built in support for deploying Play applications: Heroku and Cloudbees; although at the end of 2013 the number of services has been doubled and the offer will probably continue to increase in the future.|s-techsolution
|
If a category slug was provided, the category object is fetched from SPHERE.IO and is used to filter the initial list in the filterBy method, which source code is presented next (Figure 5.16).|s-sourcecode
|
In order to determine the image and sizes for each variant, Handlebars helpers have been used.|s-techsolution
|
The controller code appears therefore simple and clean of all related presentation logic.|s-sourcecode
|
4.2.1.4 CoffeeScript|s-techsolution
|
The difference between these two and the last method lies in the object to which the event handler is attached when the script is loaded.|s-sourcecode
|
Both services enable a simple automated deployment of the web application to the platform, which will allow developers to have a working hosted application within minutes.|s-techsolution
|
Optile has five different main levels of integration: redirected, hosted, half-native and native with and without PCI.|s-techsolution
|
Therefore its use is very appropriate, especially since a CoffeeScript compiler comes included in Play Framework.|s-techsolution
|
Projects in Play are built and deployed with SBT, a build tool for Scala and Java projects, allowing developers to choose between these two programming languages in order to implement the logic of their web applications.|s-techsolution
|
This SDK is designed to be used with Play Framework, and specifically with the Java language version.|s-techsolution
|
4.2.1.1 SPHERE.IO|s-techsolution
|
The same files host other presentation logic used by the handlers, as well as methods to load new components from JSON data fetched from the server.|s-sourcecode
|
The HTML input name and value are obtained from the fullTextSearch parameter defined before, hence connecting the user filter interface with the SPHERE.IO filter request.|s-sourcecode
|
To assert on HTML content returned by the implementation, the library Jsoup is used to find and extract the data in a simple and clean way thanks to DOM traversal and CSS selectors.|s-techsolution
|
It is a JavaScript implementation of the platform-independent Mustache project, that allows to render input data in a template using a very clean syntax.|s-techsolution
|
The CartNotEmpty filter checks the shopping cart has at least one line item, a requirement to access certain areas such as the cart detail page or the checkout, otherwise it redirects to the last visited browsing page.|s-sourcecode
|
Google Chrome is the preferred web browser, which has a built in developer tool, Chrome DevTools, highly useful to inspect HTML DOM and CSS, as well as debugging JavaScript code.|s-techsolution
|
The method for sending the form data is simply calling the jQuery “ajax” function, additionally specifying in the URL that the request is performed via AJAX.|s-sourcecode
|
