The rest of the pages should contain a button to allow the user go back to the last category or product he visited.|u-architecture
|
Again, the specification sequence diagram is adapted to the given design, illustrating the different screens that participate in every interaction in the check order top-level use case (see Figure 4.23).|u-architecture
|
Pagination requires the desired page and the amount of products per page.|u-architecture
|
Both shipping and billing sections have on the left side a form to set the postal address and on the right side the shipping and payment options, respectively.|u-architecture
|
In case the product has different sizes available, when hovering the button a list of the different sizes will be shown, so that the user can select the desired size he wants to add to the cart.|u-architecture
|
This component has a list of existing addresses on the left and an empty form on the right to add a new address (Figure 4.22).|u-architecture
|
This page shows the items and their details, along with the possibility to remove them or change the number of units of each item (Figure 4.16).|u-architecture
|
The address book is the only section with a slightly complex design.|u-architecture
|
The checkout page is probably one of the least frequented pages of a web-shop, but it is for sure the most important when it comes to user experience.|u-architecture
|
A small library called imagesLoaded is also used to fire an event when all the images of the products have been fully loaded, so that Masonry can use the correct final size of each thumbnail.|u-architecture
|
For this design it was considered a good idea to display all the steps throughout the page as sections that can be expanded, so that the user modifies them (see Figure 4.17).|u-architecture
|
The thumbnail will also include a button to add the selected product variant to the shopping cart.|u-architecture
|
This way customers are not fully aware of browsing through pages, from their point of view new products are constantly presented as they scroll down the window of the browser, in what appears to be a large single page.|u-architecture
|
On the other hand, the pagination needs to be natural without losing already viewed products, so when the user reaches the bottom of the page new products should appear automatically under the previous ones.|u-architecture
|
With this design, a new whole web page must be loaded from the server every time the user wants to interact with the system.|u-architecture
|
This functionality is only enabled for color and size attributes variations, as more attributes would saturate the design.|u-architecture
|
But the form does not have a submit button, instead it is automatically submitted when the user changes the quantity value.|u-architecture
|
The screen for listing products displays the selected filtering options and contains a single form to change them.|u-architecture
|
The product thumbnails, besides price and name, will be showing a picture of the product and the different color variants.|u-architecture
|
These areas consist of the navigation and architecture design, as well as some parts of the content design.|u-architecture
|
Both screens renders the category tree so that the customer can list all products from a particular category at any moment.|u-architecture
|
Another example is the functionality to load more products when scrolling to the bottom of the page|u-architecture
|
